Timestamp,Temperature,GasLevel,Pressure,Humidity,WorkerCount,Maintenance,Permit,MachineStatus,Zone,Risk
2026-06-18 00:23:04,39.0,167.6,3.12,39.4,21,Yes,Yes,Fault,Zone C,Warning
2026-06-07 11:16:18,47.2,205.1,3.31,72.5,8,Yes,Yes,Fault,Zone A,Warning
2026-02-21 12:11:44,31.2,228.8,2.57,48.3,22,Yes,No,Normal,Zone A,Safe
2026-01-10 00:25:38,31.3,0.0,3.28,47.5,3,Yes,Yes,Fault,Zone A,Warning
2026-04-18 18:48:01,26.9,208.3,2.35,57.4,18,Yes,No,Normal,Zone D,Safe
2026-01-02 23:14:33,23.7,123.3,3.1,60.9,19,No,Yes,Normal,Zone D,Safe
2026-04-25 03:51:19,30.6,190.0,2.22,33.9,11,No,Yes,Normal,Zone C,Safe
2026-03-04 09:41:44,38.0,126.0,3.27,35.9,4,Yes,No,Normal,Zone C,Safe
2026-03-24 14:03:00,30.2,346.7,2.79,32.1,28,No,No,Normal,Zone D,Warning
2026-03-28 02:47:31,26.5,159.3,2.99,69.8,18,Yes,No,Normal,Zone C,Safe
2026-04-12 13:31:29,36.7,3.6,2.14,88.2,27,No,Yes,Fault,Zone A,Warning
2026-03-07 00:55:29,36.6,199.7,3.24,85.3,2,Yes,No,Normal,Zone B,Safe
2026-03-09 14:55:27,34.1,152.9,2.06,79.7,28,Yes,No,Warning,Zone D,Safe
2026-05-27 12:52:23,29.2,58.8,2.36,62.6,21,No,Yes,Warning,Zone C,Safe
2026-01-12 09:46:08,37.6,145.3,2.46,30.3,7,No,Yes,Fault,Zone B,Warning
2026-03-12 18:07:30,39.9,232.4,3.24,73.7,18,Yes,Yes,Warning,Zone D,Safe
2026-06-06 06:00:47,28.3,152.2,2.97,49.9,9,Yes,No,Normal,Zone B,Safe
2026-04-11 15:25:57,42.8,164.0,2.59,49.5,27,Yes,No,Warning,Zone C,Safe
2026-04-18 15:26:26,41.5,302.1,2.76,37.2,3,Yes,No,Normal,Zone D,Warning
2026-05-07 15:09:39,43.0,267.6,3.2,63.7,13,No,Yes,Warning,Zone B,Safe
2026-04-15 22:03:35,34.7,320.8,1.49,31.5,8,No,No,Fault,Zone D,Warning
2026-02-22 02:21:53,41.6,52.3,3.32,60.5,12,Yes,Yes,Fault,Zone D,Warning
2026-03-05 22:11:23,33.2,212.1,3.54,43.7,3,Yes,Yes,Normal,Zone B,Warning
2026-04-24 15:47:41,30.9,160.9,2.59,39.7,26,No,Yes,Warning,Zone D,Safe
2026-05-02 18:18:22,42.3,209.6,2.54,83.6,20,No,No,Fault,Zone A,Safe
2026-03-21 01:02:58,39.1,303.5,2.89,83.8,22,Yes,No,Fault,Zone C,Critical
2026-06-21 03:10:56,29.4,150.5,2.6,79.1,4,No,No,Normal,Zone D,Safe
2026-06-27 13:23:04,23.3,0.0,2.97,43.3,1,No,Yes,Fault,Zone A,Warning
2026-01-21 14:13:36,32.3,107.8,2.72,61.1,28,No,Yes,Normal,Zone C,Safe
2026-04-26 12:30:58,38.2,95.1,3.5,88.3,25,Yes,Yes,Fault,Zone C,Warning
2026-06-06 02:31:40,19.6,177.6,2.83,33.1,16,Yes,Yes,Warning,Zone C,Safe
2026-06-02 14:22:18,54.7,223.0,2.67,44.4,8,Yes,Yes,Fault,Zone A,Critical
2026-01-02 08:12:26,34.7,74.8,3.37,44.3,3,No,Yes,Fault,Zone B,Warning
2026-04-16 02:49:34,41.0,107.8,3.49,67.9,5,No,Yes,Warning,Zone D,Safe
2026-02-19 00:02:54,39.7,377.1,2.3,32.4,7,Yes,No,Warning,Zone C,Warning
2026-01-09 17:02:39,30.5,333.6,3.24,31.0,15,No,Yes,Normal,Zone B,Warning
2026-04-23 07:18:39,22.6,186.2,2.27,71.5,3,No,Yes,Fault,Zone B,Warning
2026-02-06 02:13:26,38.8,235.8,2.72,38.3,19,Yes,Yes,Normal,Zone A,Safe
2026-04-22 12:23:39,28.7,151.0,3.21,79.0,8,Yes,Yes,Warning,Zone A,Safe
2026-03-14 02:31:26,25.2,302.7,4.07,44.5,17,Yes,No,Fault,Zone D,Critical
2026-05-04 15:01:31,37.1,250.4,2.18,73.6,7,Yes,No,Normal,Zone D,Safe
